scu,jurisdiction,file,owner,latitude,longitude,address,county,pole height,pole height comment,primary power,primary power comment,secondary power,secondary power comment,fiber dist panel,fiber dist panel comment,ac load panel,ac load panel comment,street sign,street sign comment,shroud,shroud comment,antenna,antenna comment,analysis_id
470748,CHICAGO,CH1511BA_71LAB_Elevation_As_Built.pdf,COMED,"41' 57' 24.06"" (41.956683)","-87 45' 6.29"" (-87.751748)",4164 N MILWAUKEE AVE,XXXX,36.08,,33.5,,,,13.75,,11.0,,,,13.02,,40.5,,6104b640f8892d9346eb460d
470751,CHICAGO,CHPH33532_SCU-470751_Redlines-Node.pdf,COMED,"41' 51' 24.14"" (41.856706)","-87 47' 34.32"" (-87.792865)",1632 EUCLID AVE,XXXX,33.33,,33.83,,,,11.33,,9.53,,,,10.6,,39.83,,6104d39bf8892d9346eb477a
470758,CICERO/COOK COUNTY,CHPH33541_470758_Elevation_NAT_Redlined_As-Built.pdf,COMED,41.850046,-87.749764,5006 WEST 22ND PL,XXXX,32.58,,,,,,15.75,,13.56,,,,15.02,,38.83,,6104cf0bf8892d9346eb473e
470771,CHICAGO CITY,CHPH33554_SCU-470771_Redline-Node.pdf,XXXX,"41' 52' 01.85"" N (41.867180)","87 46' 26.72"" W (-87.774090)",1101 S. AUSTIN BLVD.,XXXX,34.5,,,,,,23.5,,,,,,,,,,6104d567f8892d9346eb4791
470774,CHICAGO CITY,CHPH33559_SCU-470774_Redline-Node.pdf,XXXX,"41' 50' 03.87"" N (41.834408)","87º 39' 55.85"" W (-87.665515)",3237 S. ASHLAND AVE.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104c60ff8892d9346eb46d1
470775,CHICAGO CITY,CH1362BA_11LAB_Elevation_As_Built_NAT_Redline.pdf,XXXX,"41' 49' 25.78"" N (41.823829)","87 41' 18.75"" W (-87.688542)",3837 S. ARCHER AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104b1cff8892d9346eb45d0
470779,CHICAGO,CHPH33568_Elevation_As_Built_NAT_Redline.pdf,COMED,"41' 48' 31.5"" (41.808751)","-87 41' 29.61"" (-87.691559)",4647 S WASHTENAW AVE,XXXX,33.5,,33.92,,,,12.5,,10.28,,9.75,,13.35,,40.0,,6104d688f8892d9346eb479d
470780,CHICAGO,CHPH33569_Elevation_NAT_Redlined_As-Built.pdf,COMED,"41' 48' 31.54"" (41.808760)","-87 41' 59.07"" (-87.699743)",4647 S WHIPPLE ST,XXXX,33.04,,33.08,,,,12.25,,10.03,,,,11.52,,39.25,,6104c18ef8892d9346eb4699
470782,CHICAGO,CHPH33571_SCU-470782_NAT_Redlined_As-Built.pdf,COMED,"41' 47' 44.34"" (41.795650)","-87 41' 18.00"" (-87.688333)",5632 S MAPLEWOOD AVE,XXXX,37.38,,37.42,,,,11.75,,9.53,,,,11.02,,43.58,,6104b482f8892d9346eb45f5
470784,CHICAGO,CHPH33574_Elevation_As_Built.pdf,COMED,9999,9999,XXXX,XXXX,29.75,,37.67,,26.5,,13.75,,11.0,,,,13.02,,45.0,,6104b357f8892d9346eb45e3
